"country","lon","lat"
"England","-1.1743197","52.3555177"
"Mexico","-102.552784","23.634501"
"USA","-95.712891","37.09024"
"Jamaica","-77.297508","18.109581"
"Ecuador","-78.183406","-1.831239"
"Belize","-88.49765","17.189877"
"USA","-95.712891","37.09024"
"USA","-95.712891","37.09024"
"South Africa","22.937506","-30.559482"
"Brazil","-51.92528","-14.235004"
"Canada","-106.346771","56.130366"
"Austria","14.550072","47.516231"
"Ethiopia","40.489673","9.145"
"USA","-95.712891","37.09024"
"France","2.213749","46.227638"
"Canada","-106.346771","56.130366"
"Austria","14.550072","47.516231"
"England","-1.1743197","52.3555177"
"USA","-95.712891","37.09024"
"Jamaica","-77.297508","18.109581"
"USA","-95.712891","37.09024"
"Sweden","18.643501","60.128161"
"Russia","105.318756","61.52401"
"Swiss","8.227512","46.818188"
"Egypt","30.802498","26.820553"
"India","78.96288","20.593684"
"Russia","105.318756","61.52401"
"Greenland","-42.604303","71.706936"
"USA","-95.712891","37.09024"
"England","-1.1743197","52.3555177"
"Croatia","15.2000001","45.1"
"USA","-95.712891","37.09024"
"Ecuador","-78.183406","-1.831239"
"USA","-95.712891","37.09024"
"Poland","19.145136","51.919438"
"China","104.195397","35.86166"
"Nepal","84.124008","28.394857"
