"country","lon","lat"
"Russia","105.318756","61.52401"
"Japan","138.252924","36.204824"
"China","104.195397","35.86166"
"Thailand","100.992541","15.870032"
"Hongkong","114.109497","22.396428"
"India","78.96288","20.593684"
"South Korea","127.766922","35.907757"
"Malaysia","101.975766","4.210484"
"Vanuatu","166.959158","-15.376706"
"New Zealand","174.885971","-40.900557"
"Australia","133.775136","-25.274398"
"Bosnia","17.679076","43.915886"
"Russia","105.318756","61.52401"
"China","104.195397","35.86166"
"China","104.195397","35.86166"
"India","78.96288","20.593684"
"Vanuatu","166.959158","-15.376706"
"Bahamas","-77.39628","25.03428"
"Finland","25.7481511","61.92411"
"Jamaica","-77.297508","18.109581"
"China","104.195397","35.86166"
"Colombia","-74.297333","4.570868"
"India","78.96288","20.593684"
"Venezuela","-66.58973","6.42375"
"Indonesia","113.921327","-0.789275"
"Hungary","19.5033041","47.162494"
"Philippines","121.774017","12.879721"
"Greenland","-42.604303","71.706936"
"Venezuela","-66.58973","6.42375"
"Bolivia","-63.588653","-16.290154"
"Croatia","15.2000001","45.1"
"Thailand","100.992541","15.870032"
"Venezuela","-66.58973","6.42375"
"USA","-95.712891","37.09024"
"USA","-95.712891","37.09024"
"Italy","12.56738","41.87194"
"Nepal","84.124008","28.394857"
